Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000002925	ENSVPAG00000002925.1	ENSVPAT00000002925.1
ENSVPAG00000009615	ENSVPAG00000009615.1	ENSVPAT00000009613.1
ENSVPAG00000004393	ENSVPAG00000004393.1	ENSVPAT00000004394.1
ENSVPAG00000010533	ENSVPAG00000010533.1	ENSVPAT00000010535.1
ENSVPAG00000005963	ENSVPAG00000005963.1	ENSVPAT00000005964.1
ENSVPAG00000003003	ENSVPAG00000003003.1	ENSVPAT00000003001.1
ENSVPAG00000002662	ENSVPAG00000002662.1	ENSVPAT00000002662.1
ENSVPAG00000006864	ENSVPAG00000006864.1	ENSVPAT00000006864.1
ENSVPAG00000010537	ENSVPAG00000010537.1	ENSVPAT00000010540.1
ENSVPAG00000003004	ENSVPAG00000003004.1	ENSVPAT00000003004.1
ENSVPAG00000004331	ENSVPAG00000004331.1	ENSVPAT00000004334.1
ENSVPAG00000015462	ENSVPAG00000015462.1	ENSVPAT00000000191.1
ENSVPAG00000005821	ENSVPAG00000005821.1	ENSVPAT00000005821.1
ENSVPAG00000000346	ENSVPAG00000000346.1	ENSVPAT00000000346.1
ENSVPAG00000003006	ENSVPAG00000003006.1	ENSVPAT00000003005.1
ENSVPAG00000000174	ENSVPAG00000000174.1	ENSVPAT00000000174.1
ENSVPAG00000010541	ENSVPAG00000010541.1	ENSVPAT00000010541.1
ENSVPAG00000004395	ENSVPAG00000004395.1	ENSVPAT00000004395.1
ENSVPAG00000015388	ENSVPAG00000015388.1	ENSVPAT00000015462.1
ENSVPAG00000003129	ENSVPAG00000003129.1	ENSVPAT00000003130.1
ENSVPAG00000000175	ENSVPAG00000000175.1	ENSVPAT00000000175.1
ENSVPAG00000010542	ENSVPAG00000010542.1	ENSVPAT00000010542.1
ENSVPAG00000003011	ENSVPAG00000003011.1	ENSVPAT00000003013.1
ENSVPAG00000000176	ENSVPAG00000000176.1	ENSVPAT00000000176.1
ENSVPAG00000010543	ENSVPAG00000010543.1	ENSVPAT00000010543.1
ENSVPAG00000000177	ENSVPAG00000000177.1	ENSVPAT00000000177.1
ENSVPAG00000003130	ENSVPAG00000003130.1	ENSVPAT00000003129.1
ENSVPAG00000009350	ENSVPAG00000009350.1	ENSVPAT00000009350.1
ENSVPAG00000000491	ENSVPAG00000000491.1	ENSVPAT00000000491.1
ENSVPAG00000005822	ENSVPAG00000005822.1	ENSVPAT00000005822.1
